Nr,Destination,Prefix,Zone,Mobile,Cost
4021,"Ukraine, mobile Wellcom",38068,3,1,0.50
4022,"Ukraine, mobile Ukrtelecom",38091,3,1,0.50
4023,"Ukraine, mobile Telesystems of Ukraine",38092,3,1,0.50
4024,"Ukraine, mobile Astelit",38093,3,1,0.50
4025,"Ukraine, mobile Intertelecom",38094,3,1,0.50
4026,"Ukraine, mobile UMC",38095,3,1,0.50
4027,"Ukraine, mobile Kyivstar",38096,3,1,0.50
4028,"Ukraine, mobile Kyivstar",38097,3,1,0.50
4029,"Ukraine, mobile Kyivstar",38098,3,1,0.50
4030,"Ukraine, mobile UMC",38099,3,1,0.50
4031,Serbia,381,3,,0.30
4032,"Serbia, Kosovo",38128,3,,0.30
4033,"Serbia, Kosovo",38129,3,,0.30
4034,"Serbia, Kosovo",38138,3,,0.30
4035,"Serbia, Kosovo",38139,3,,0.30
4036,"Serbia, mobile",38160,3,1,0.50
4037,"Serbia, mobile",38161,3,1,0.50
4038,"Serbia, mobile MOBTEL",38162,3,1,0.50
4039,"Serbia, mobile MOBTEL",38163,3,1,0.50
4040,"Serbia, mobile",38164,3,1,0.50
4041,"Serbia, mobile",38165,3,1,0.50
4042,"Serbia, mobile",38166,3,1,0.50
4043,"Serbia, mobile",38168,3,1,0.50
4044,"Serbia, mobile MOBTEL",38169,3,1,0.50
4045,Montenegro,382,3,,0.30
4046,"Montenegro, mobile",38263,3,1,0.50
4047,"Montenegro, mobile",38267,3,1,0.50
4048,"Montenegro, mobile",38268,3,1,0.50
4049,"Montenegro, mobile",38269,3,1,0.50
4050,Croatia,385,1,,0.05
4051,"Croatia, Zagreb",3851,1,,0.05
4052,"Croatia, mobile",385901,1,1,0.25
4053,"Croatia, mobile",38591,1,1,0.25
4054,"Croatia, mobile",38592,1,1,0.25
4055,"Croatia, mobile",38595,1,1,0.25
4056,"Croatia, mobile",38597,1,1,0.25
4057,"Croatia, mobile",38598,1,1,0.25
4058,"Croatia, mobile",38599,1,1,0.25
4059,Slovenia,386,3,,0.30
4060,Slovenia,3861600,3,,0.30
4061,"Slovenia, mobile",38630,3,1,0.50
4062,"Slovenia, mobile",38631,3,1,0.50
4063,"Slovenia, mobile",38640,3,1,0.50
4064,"Slovenia, mobile",38641,3,1,0.50
4065,"Slovenia, mobile",38643,3,1,0.50
4066,"Slovenia, mobile",38649,3,1,0.50
4067,"Slovenia, mobile",38650,3,1,0.50
4068,"Slovenia, mobile",38651,3,1,0.50
4069,"Slovenia, mobile",38664,3,1,0.50
4070,"Slovenia, mobile",38665,3,1,0.50
4071,"Slovenia, mobile",38666,3,1,0.50
4072,"Slovenia, mobile",38667,3,1,0.50
4073,"Slovenia, mobile",38668,3,1,0.50
4074,"Slovenia, mobile",38669,3,1,0.50
4075,"Slovenia, mobile",38670,3,1,0.50
4076,"Slovenia, mobile",38671,3,1,0.50
4077,"Slovenia, mobile",386833,3,1,0.50
4078,"Slovenia, mobile",38698,3,1,0.50
4079,"Slovenia, mobile",3869800,3,1,0.50
4080,"Slovenia, mobile",3869801,3,1,0.50
4081,"Slovenia, mobile",3869802,3,1,0.50
4082,"Slovenia, mobile",3869803,3,1,0.50
4083,"Slovenia, mobile",3869814,3,1,0.50
4084,"Slovenia, mobile",3869817,3,1,0.50
4085,"Slovenia, mobile",3869818,3,1,0.50
4086,Bosnia-Herzegovina,387,3,,0.30
4087,Bosnia-Herzegovina,387302,3,,0.30
4088,"Bosnia-Herzegovina, Mostar",387304,3,,0.30
4089,Bosnia-Herzegovina,387305,3,,0.30
4090,Bosnia-Herzegovina,3873061,3,,0.30
4091,"Bosnia-Herzegovina, Mostar",3873063,3,,0.30
4092,"Bosnia-Herzegovina, Mostar",3873064,3,,0.30
4093,"Bosnia-Herzegovina, Mostar",3873065,3,,0.30
4094,"Bosnia-Herzegovina, Mostar",3873070,3,,0.30
4095,"Bosnia-Herzegovina, Mostar",3873071,3,,0.30
4096,Bosnia-Herzegovina,3873072,3,,0.30
4097,"Bosnia-Herzegovina, Mostar",3873073,3,,0.30
4098,"Bosnia-Herzegovina, Mostar",3873074,3,,0.30
4099,"Bosnia-Herzegovina, Mostar",3873079,3,,0.30
4100,"Bosnia-Herzegovina, Mostar",3873080,3,,0.30
4101,"Bosnia-Herzegovina, Mostar",3873083,3,,0.30
4102,"Bosnia-Herzegovina, Mostar",3873087,3,,0.30
4103,"Bosnia-Herzegovina, Mostar",387317,3,,0.30
4104,Bosnia-Herzegovina,387322,3,,0.30
4105,Bosnia-Herzegovina,387323,3,,0.30
4106,Bosnia-Herzegovina,387324,3,,0.30
4107,Bosnia-Herzegovina,387325,3,,0.30
4108,Bosnia-Herzegovina,387326,3,,0.30
4109,Bosnia-Herzegovina,387327,3,,0.30
4110,Bosnia-Herzegovina,3873280,3,,0.30
4111,Bosnia-Herzegovina,3873281,3,,0.30
4112,Bosnia-Herzegovina,3873282,3,,0.30
4113,Bosnia-Herzegovina,3873283,3,,0.30
4114,Bosnia-Herzegovina,3873284,3,,0.30
4115,Bosnia-Herzegovina,3873285,3,,0.30
4116,Bosnia-Herzegovina,3873286,3,,0.30
4117,Bosnia-Herzegovina,3873287,3,,0.30
4118,"Bosnia-Herzegovina, Mostar",3873288,3,,0.30
4119,"Bosnia-Herzegovina, Mostar",3873289,3,,0.30
4120,Bosnia-Herzegovina,38733,3,,0.30
4121,Bosnia-Herzegovina,387332,3,,0.30
4122,Bosnia-Herzegovina,387334,3,,0.30
4123,Bosnia-Herzegovina,387335,3,,0.30
4124,Bosnia-Herzegovina,387336,3,,0.30
4125,Bosnia-Herzegovina,387337,3,,0.30
4126,Bosnia-Herzegovina,387338,3,,0.30
4127,"Bosnia-Herzegovina, Mostar",387342,3,,0.30
4128,"Bosnia-Herzegovina, Mostar",387343,3,,0.30
4129,"Bosnia-Herzegovina, Mostar",387345,3,,0.30
4130,"Bosnia-Herzegovina, Mostar",387348,3,,0.30
4131,Bosnia-Herzegovina,387352,3,,0.30
4132,Bosnia-Herzegovina,387353,3,,0.30
4133,Bosnia-Herzegovina,387355,3,,0.30
4134,Bosnia-Herzegovina,387356,3,,0.30
4135,Bosnia-Herzegovina,387357,3,,0.30
4136,Bosnia-Herzegovina,387358,3,,0.30
4137,Bosnia-Herzegovina,387362,3,,0.30
4138,"Bosnia-Herzegovina, Mostar",387363,3,,0.30
4139,"Bosnia-Herzegovina, Mostar",387364,3,,0.30
4140,Bosnia-Herzegovina,387365,3,,0.30
4141,"Bosnia-Herzegovina, Mostar",387366,3,,0.30
4142,Bosnia-Herzegovina,3873672,3,,0.30
4143,Bosnia-Herzegovina,3873673,3,,0.30
4144,Bosnia-Herzegovina,3873674,3,,0.30
4145,Bosnia-Herzegovina,3873675,3,,0.30
4146,"Bosnia-Herzegovina, Mostar",3873677,3,,0.30
4147,"Bosnia-Herzegovina, Mostar",3873678,3,,0.30
4148,"Bosnia-Herzegovina, Mostar",387368,3,,0.30
4149,Bosnia-Herzegovina,387372,3,,0.30
4150,Bosnia-Herzegovina,387373,3,,0.30
4151,Bosnia-Herzegovina,387374,3,,0.30
4152,Bosnia-Herzegovina,387375,3,,0.30
4153,Bosnia-Herzegovina,387376,3,,0.30
4154,Bosnia-Herzegovina,387377,3,,0.30
4155,Bosnia-Herzegovina,387378,3,,0.30
4156,Bosnia-Herzegovina,387382,3,,0.30
4157,Bosnia-Herzegovina,387385,3,,0.30
4158,Bosnia-Herzegovina,387387,3,,0.30
4159,Bosnia-Herzegovina,387388,3,,0.30
4160,"Bosnia-Herzegovina, Mostar",387393,3,,0.30
4161,"Bosnia-Herzegovina, Mostar",387396,3,,0.30
4162,"Bosnia-Herzegovina, Mostar",387397,3,,0.30
4163,"Bosnia-Herzegovina, Mostar",387398,3,,0.30
4164,"Bosnia-Herzegovina, Srpska",387492,3,,0.30
4165,"Bosnia-Herzegovina, Srpska",387493,3,,0.30
4166,"Bosnia-Herzegovina, Srpska",387494,3,,0.30
4167,Bosnia-Herzegovina,387495,3,,0.30
4168,Bosnia-Herzegovina,387496,3,,0.30
4169,"Bosnia-Herzegovina, Mostar",387497,3,,0.30
4170,"Bosnia-Herzegovina, Srpska",3875,3,,0.30
4171,"Bosnia-Herzegovina, mobile",3876,3,1,0.50
4172,"Bosnia-Herzegovina, mobile",3876031,3,1,0.50
4173,"Bosnia-Herzegovina, mobile",3876032,3,1,0.50
4174,"Bosnia-Herzegovina, mobile",3876033,3,1,0.50
4175,"Bosnia-Herzegovina, mobile",3876034,3,1,0.50
4176,"Bosnia-Herzegovina, mobile",3876038,3,1,0.50
4177,"Bosnia-Herzegovina, mobile",3876039,3,1,0.50
4178,"Bosnia-Herzegovina, mobile",38761,3,1,0.50
4179,"Bosnia-Herzegovina, mobile",38762,3,1,0.50
4180,"Bosnia-Herzegovina, mobile",38763,3,1,0.50
